feature_gene	class_gene	start	end	strand	symbol	locus_tag	feature_interval_length	attributes_gene	feature_product	class_product	product_accession_product	non-redundant_refseq_product	name_product	product_length_product	attributes_product	old_locus_tag
gene	protein_coding	853578	854408	+	prmC	PP_RS03925	831	old_locus_tag	CDS	with_protein	WP_010951979.1	WP_010951979.1	peptide chain release factor N(5)-glutamine methyltransferase	276.0		PP_0734
gene	protein_coding	854402	855157	+		PP_RS03930	756	old_locus_tag	CDS	with_protein	WP_010951980.1	WP_010951980.1	molybdopterin-synthase adenylyltransferase MoeB	251.0		PP_0735
gene	protein_coding	855150	855947	+	murI	PP_RS03935	798	old_locus_tag	CDS	with_protein	WP_010951981.1	WP_010951981.1	glutamate racemase	265.0		PP_0736
gene	protein_coding	856052	856570	+		PP_RS03940	519	old_locus_tag	CDS	with_protein	WP_003247385.1	WP_003247385.1	acyloxyacyl hydrolase	172.0		PP_0737
gene	protein_coding	856686	857384	-		PP_RS03945	699	old_locus_tag	CDS	with_protein	WP_010951983.1	WP_010951983.1	SDR family oxidoreductase	232.0		PP_0738
gene	protein_coding	857381	858823	-	phrB	PP_RS03950	1443	old_locus_tag	CDS	with_protein	WP_010951984.1	WP_010951984.1	deoxyribodipyrimidine photo-lyase	480.0		PP_0739
gene	protein_coding	858814	859713	-		PP_RS03955	900	old_locus_tag	CDS	with_protein	WP_010951985.1	WP_010951985.1	MerR family transcriptional regulator	299.0		PP_0740
gene	protein_coding	859703	860671	-		PP_RS03960	969	old_locus_tag	CDS	with_protein	WP_010951986.1	WP_010951986.1	DUF523 and DUF1722 domain-containing protein	322.0		PP_0741
gene	protein_coding	860775	861761	-		PP_RS03965	987	old_locus_tag	CDS	with_protein	WP_010951987.1	WP_010951987.1	NAD(P)/FAD-dependent oxidoreductase	328.0		PP_0742
gene	protein_coding	861948	862853	+		PP_RS03970	906	old_locus_tag	CDS	with_protein	WP_010951988.1	WP_010951988.1	TIGR01777 family oxidoreductase	301.0		PP_0743
gene	protein_coding	862867	863883	+	hemH	PP_RS03975	1017	old_locus_tag	CDS	with_protein	WP_010951989.1	WP_010951989.1	ferrochelatase	338.0		PP_0744
gene	protein_coding	863919	865184	-		PP_RS03980	1266	old_locus_tag	CDS	with_protein	WP_003247369.1	WP_003247369.1	uracil-xanthine permease family protein	421.0		PP_0745
gene	protein_coding	865187	865825	-	upp	PP_RS03985	639	old_locus_tag	CDS	with_protein	WP_003247366.1	WP_003247366.1	uracil phosphoribosyltransferase	212.0		PP_0746
gene	protein_coding	865988	866545	+		PP_RS03990	558	old_locus_tag	CDS	with_protein	WP_010951990.1	WP_010951990.1	hypoxanthine-guanine phosphoribosyltransferase	185.0		PP_0747
gene	protein_coding	866548	867021	+		PP_RS03995	474	old_locus_tag	CDS	with_protein	WP_010951991.1	WP_010951991.1	WbuC family cupin fold metalloprotein	157.0		PP_0748
gene	protein_coding	867073	867543	+		PP_RS04000	471	old_locus_tag	CDS	with_protein	WP_003247361.1	WP_003247361.1	hypothetical protein	156.0		PP_0749
gene	protein_coding	867612	867902	+		PP_RS04005	291	old_locus_tag	CDS	with_protein	WP_003247360.1	WP_003247360.1	PA4642 family protein	96.0		PP_0750
gene	protein_coding	868079	869587	-	mqo	PP_RS04010	1509	old_locus_tag	CDS	with_protein	WP_010951993.1	WP_010951993.1	malate dehydrogenase (quinone)	502.0		PP_0751
gene	protein_coding	870189	870422	-		PP_RS04015	234	old_locus_tag	CDS	with_protein	WP_049586388.1	WP_049586388.1	hypothetical protein	77.0		PP_5456
gene	protein_coding	870568	871152	+		PP_RS04020	585	old_locus_tag	CDS	with_protein	WP_010951995.1	WP_010951995.1	YajG family lipoprotein	194.0		PP_0753
gene	protein_coding	871227	871433	-		PP_RS04025	207	old_locus_tag	CDS	with_protein	WP_003247353.1	WP_003247353.1	hypothetical protein	68.0		PP_0754
gene	protein_coding	871594	871854	+		PP_RS04030	261	old_locus_tag	CDS	with_protein	WP_012051192.1	WP_012051192.1	hypothetical protein	86.0		PP_0755
gene	protein_coding	871890	873059	-		PP_RS04035	1170	old_locus_tag	CDS	with_protein	WP_162490559.1	WP_162490559.1	1-acyl-sn-glycerol-3-phosphate acyltransferase	389.0		PP_0756
gene	protein_coding	873182	873367	+		PP_RS04040	186	old_locus_tag	CDS	with_protein	WP_010951999.1	WP_010951999.1	CPXCG motif-containing cysteine-rich protein	61.0		PP_0757
gene	protein_coding	873367	873627	+		PP_RS04045	261	old_locus_tag	CDS	with_protein	WP_020192887.1	WP_020192887.1	DUF2007 domain-containing protein	86.0		PP_5457
gene	protein_coding	873643	874263	+		PP_RS04050	621	old_locus_tag	CDS	with_protein	WP_010952000.1	WP_010952000.1	SOS response-associated peptidase	206.0		PP_0758
gene	protein_coding	874443	875261	+		PP_RS04055	819	old_locus_tag	CDS	with_protein	WP_049586394.1	WP_049586394.1	M48 family metallopeptidase	272.0		PP_0759
gene	protein_coding	875307	875891	-		PP_RS04060	585	old_locus_tag	CDS	with_protein	WP_003247342.1	WP_003247342.1	TMEM165/GDT1 family protein	194.0		PP_0760
gene	protein_coding	876160	877158	-		PP_RS04065	999	old_locus_tag	CDS	with_protein	WP_010952002.1	WP_010952002.1	class I SAM-dependent methyltransferase	332.0		PP_0761
gene	protein_coding	877213	878178	-		PP_RS04070	966	old_locus_tag	CDS	with_protein	WP_010952003.1	WP_010952003.1	2-hydroxyacid dehydrogenase	321.0		PP_0762
gene	protein_coding	878472	880154	+		PP_RS04075	1683	old_locus_tag	CDS	with_protein	WP_010952004.1	WP_010952004.1	fatty acid--CoA ligase	560.0		PP_0763
gene	protein_coding	880486	882372	+		PP_RS04080	1887	old_locus_tag	CDS	with_protein	WP_010952006.1	WP_010952006.1	DUF1302 domain-containing protein	628.0		PP_0765
gene	protein_coding	882398	883762	+		PP_RS04085	1365	old_locus_tag	CDS	with_protein	WP_010952007.1	WP_010952007.1	DUF1329 domain-containing protein	454.0		PP_0766
gene	protein_coding	884090	886807	+		PP_RS04090	2718	old_locus_tag	CDS	with_protein	WP_010952008.1	WP_010952008.1	LuxR C-terminal-related transcriptional regulator	905.0		PP_0767
gene	protein_coding	886967	888574	+		PP_RS04095	1608	old_locus_tag	CDS	with_protein	WP_003247330.1	WP_003247330.1	tetratricopeptide repeat-containing response regulator	535.0		PP_0768
gene	protein_coding	888571	889263	+		PP_RS04100	693	old_locus_tag	CDS	with_protein	WP_010952009.1	WP_010952009.1	HAMP domain-containing sensor histidine kinase	230.0		PP_0769
gene	protein_coding	889433	889711	+		PP_RS04105	279	old_locus_tag	CDS	with_protein	WP_019436943.1	WP_019436943.1	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	92.0		PP_0770
gene	protein_coding	889708	890055	+		PP_RS04110	348	old_locus_tag	CDS	with_protein	WP_010952011.1	WP_010952011.1	type II toxin-antitoxin system ChpB family toxin	115.0		PP_0771
gene	protein_coding	890074	890718	+		PP_RS04115	645	old_locus_tag	CDS	with_protein	WP_010952012.1	WP_010952012.1	MBL fold metallo-hydrolase	214.0		PP_0772
gene	protein_coding	890828	891547	+		PP_RS04120	720	old_locus_tag	CDS	with_protein	WP_003247328.1	WP_003247328.1	OmpA family protein	239.0		PP_0773
gene	protein_coding	891627	893714	-	pta	PP_RS04125	2088	old_locus_tag	CDS	with_protein	WP_010952014.1	WP_010952014.1	phosphate acetyltransferase	695.0		PP_0774
gene	protein_coding	893746	894048	-		PP_RS04130	303	old_locus_tag	CDS	with_protein	WP_010952015.1	WP_010952015.1	DUF3565 domain-containing protein	100.0		PP_0775
gene	protein_coding	894047	894532	+		PP_RS04135	486	old_locus_tag	CDS	with_protein	WP_003247325.1	WP_003247325.1	peptidylprolyl isomerase	161.0		PP_0776
gene	protein_coding	894678	895160	+		PP_RS04140	483	old_locus_tag	CDS	with_protein	WP_004575870.1	WP_004575870.1	glutathione peroxidase	160.0		PP_0777
gene	protein_coding	895224	896414	-		PP_RS04145	1191	old_locus_tag	CDS	with_protein	WP_010952016.1	WP_010952016.1	glycosyltransferase family 1 protein	396.0		PP_0778
gene	protein_coding	896593	897909	+		PP_RS04150	1317	old_locus_tag	CDS	with_protein	WP_049586397.1	WP_049586397.1	PAS domain-containing methyl-accepting chemotaxis protein	438.0		PP_0779
gene	pseudogene	898135	898909	+		PP_RS04155	775	pseudo	CDS	without_protein			polymorphic toxin type 15 domain-containing protein		pseudo	
gene	protein_coding	898925	899548	+		PP_RS04160	624	old_locus_tag	CDS	with_protein	WP_010952020.1	WP_010952020.1	GAD-like domain-containing protein	207.0		PP_0782
gene	protein_coding	899891	900508	+		PP_RS04165	618	old_locus_tag	CDS	with_protein	WP_003247320.1	WP_003247320.1	GAD-like domain-containing protein	205.0		PP_0784
gene	protein_coding	900553	901281	-	cysZ	PP_RS04170	729	old_locus_tag	CDS	with_protein	WP_010952022.1	WP_010952022.1	sulfate transporter CysZ	242.0		PP_0785
gene	protein_coding	901612	902574	+	trxB	PP_RS04175	963	old_locus_tag	CDS	with_protein	WP_003247318.1	WP_003247318.1	thioredoxin-disulfide reductase	320.0		PP_0786
gene	protein_coding	902650	903498	-	nadC	PP_RS04180	849	old_locus_tag	CDS	with_protein	WP_010952023.1	WP_010952023.1	carboxylating nicotinate-nucleotide diphosphorylase	282.0		PP_0787
gene	protein_coding	903742	905901	+		PP_RS04185	2160	old_locus_tag	CDS	with_protein	WP_049586400.1	WP_049586400.1	DUF1631 domain-containing protein	719.0		PP_0788
gene	protein_coding	905990	906562	+	ampD	PP_RS04190	573	old_locus_tag	CDS	with_protein	WP_010952025.1	WP_010952025.1	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	190.0		PP_0789
gene	protein_coding	906559	907389	+	ampE	PP_RS04195	831	old_locus_tag	CDS	with_protein	WP_010952026.1	WP_010952026.1	regulatory signaling modulator protein AmpE	276.0		PP_0790
gene	protein_coding	907434	908210	-		PP_RS04200	777	old_locus_tag	CDS	with_protein	WP_010952027.1	WP_010952027.1	TatD family hydrolase	258.0		PP_0791
gene	protein_coding	908213	909208	-	cra	PP_RS04205	996	old_locus_tag	CDS	with_protein	WP_010952028.1	WP_010952028.1	catabolite repressor/activator	331.0		PP_0792
gene	protein_coding	909493	912345	+	ptsP	PP_RS04210	2853	old_locus_tag	CDS	with_protein	WP_010952029.1	WP_010952029.1	phosphoenolpyruvate--protein phosphotransferase	950.0		PP_0793
gene	protein_coding	912346	913293	+	pfkB	PP_RS04215	948	old_locus_tag	CDS	with_protein	WP_010952030.1	WP_010952030.1	1-phosphofructokinase	315.0		PP_0794
gene	protein_coding	913290	915032	+		PP_RS04220	1743	old_locus_tag	CDS	with_protein	WP_010952031.1	WP_010952031.1	PTS fructose-like transporter subunit IIB	580.0		PP_0795
gene	protein_coding	915180	915401	-		PP_RS04225	222	old_locus_tag	CDS	with_protein	WP_049586403.1	WP_049586403.1	DUF3820 family protein	73.0		PP_0796
gene	protein_coding	915603	916079	+		PP_RS04230	477	old_locus_tag	CDS	with_protein	WP_014589713.1	WP_014589713.1	PA2169 family four-helix-bundle protein	158.0		PP_0797
gene	protein_coding	916076	917566	-		PP_RS04235	1491	old_locus_tag	CDS	with_protein	WP_010952034.1	WP_010952034.1	sensor domain-containing diguanylate cyclase	496.0		PP_0798
gene	protein_coding	917765	919099	-		PP_RS04240	1335	old_locus_tag	CDS	with_protein	WP_010952035.1	WP_010952035.1	OprD family porin	444.0		PP_0799
gene	protein_coding	919305	919529	-		PP_RS04245	225	old_locus_tag	CDS	with_protein	WP_049586405.1	WP_049586405.1	hypothetical protein	74.0		PP_5458
gene	protein_coding	919720	920454	-		PP_RS04250	735	old_locus_tag	CDS	with_protein	WP_049586407.1	WP_049586407.1	YkgJ family cysteine cluster protein	244.0		PP_0800
gene	protein_coding	920451	920762	-		PP_RS04255	312	old_locus_tag	CDS	with_protein	WP_021781735.1	WP_021781735.1	hypothetical protein	103.0		PP_0801
gene	protein_coding	920851	921750	-		PP_RS04260	900	old_locus_tag	CDS	with_protein	WP_010952038.1	WP_010952038.1	chemotaxis protein	299.0		PP_0802
gene	protein_coding	921843	923027	-		PP_RS04265	1185	old_locus_tag	CDS	with_protein	WP_010952039.1	WP_010952039.1	HlyD family type I secretion periplasmic adaptor subunit	394.0		PP_0803
gene	protein_coding	923024	925192	-		PP_RS04270	2169	old_locus_tag	CDS	with_protein	WP_010952040.1	WP_010952040.1	type I secretion system permease/ATPase	722.0		PP_0804
gene	protein_coding	925189	926625	-		PP_RS04275	1437	old_locus_tag	CDS	with_protein	WP_010952041.1	WP_010952041.1	TolC family outer membrane protein	478.0		PP_0805
gene	protein_coding	926689	945621	-		PP_RS04280	18933	old_locus_tag	CDS	with_protein	WP_010952042.1	WP_010952042.1	Ig-like domain-containing protein	6310.0		PP_0806
gene	protein_coding	945812	947368	-	norR	PP_RS04285	1557	old_locus_tag	CDS	with_protein	WP_010952043.1	WP_010952043.1	nitric oxide reductase transcriptional regulator NorR	518.0		PP_0807
gene	protein_coding	947524	948702	+	hmpA	PP_RS04290	1179	old_locus_tag	CDS	with_protein	WP_010952044.1	WP_010952044.1	NO-inducible flavohemoprotein	392.0		PP_0808
gene	protein_coding	949159	949665	+		PP_RS04295	507	old_locus_tag	CDS	with_protein	WP_003248609.1	WP_003248609.1	disulfide bond formation protein B	168.0		PP_0809
gene	protein_coding	950225	951166	+	cyoA	PP_RS04300	942	old_locus_tag	CDS	with_protein	WP_003248605.1	WP_003248605.1	ubiquinol oxidase subunit II	313.0		PP_0812
gene	protein_coding	951170	953188	+	cyoB	PP_RS04305	2019	old_locus_tag	CDS	with_protein	WP_010952047.1	WP_010952047.1	cytochrome o ubiquinol oxidase subunit I	672.0		PP_0813
gene	protein_coding	953192	953815	+	cyoC	PP_RS04310	624	old_locus_tag	CDS	with_protein	WP_010952048.1	WP_010952048.1	cytochrome o ubiquinol oxidase subunit III	207.0		PP_0814
gene	protein_coding	953815	954147	+	cyoD	PP_RS04315	333	old_locus_tag	CDS	with_protein	WP_003248599.1	WP_003248599.1	cytochrome o ubiquinol oxidase subunit IV	110.0		PP_0815
gene	protein_coding	954159	955046	+	cyoE	PP_RS04320	888	old_locus_tag	CDS	with_protein	WP_003248596.1	WP_003248596.1	heme o synthase	295.0		PP_0816
gene	protein_coding	955359	956567	+	alaC	PP_RS04325	1209	old_locus_tag	CDS	with_protein	WP_010952049.1	WP_010952049.1	alanine transaminase	402.0		PP_0817
gene	protein_coding	956681	957808	+		PP_RS04330	1128	old_locus_tag	CDS	with_protein	WP_049586415.1	WP_049586415.1	hypothetical protein	375.0		PP_0818
gene	protein_coding	957970	958353	+		PP_RS04335	384	old_locus_tag	CDS	with_protein	WP_003248590.1	WP_003248590.1	YkgJ family cysteine cluster protein	127.0		PP_0819
gene	protein_coding	958546	959109	+		PP_RS04340	564	old_locus_tag	CDS	with_protein	WP_003248588.1	WP_003248588.1	GNAT family N-acetyltransferase	187.0		PP_0820
gene	protein_coding	959196	959735	+		PP_RS04345	540	old_locus_tag	CDS	with_protein	WP_014589735.1	WP_014589735.1	hypothetical protein	179.0		PP_5460
gene	protein_coding	959756	960142	+		PP_RS04350	387	old_locus_tag	CDS	with_protein	WP_014861457.1	WP_014861457.1	lysozyme inhibitor LprI family protein	128.0		PP_0821
gene	protein_coding	960268	961380	-	mnmH	PP_RS04355	1113	old_locus_tag	CDS	with_protein	WP_010952052.1	WP_010952052.1	tRNA 2-selenouridine(34) synthase MnmH	370.0		PP_0822
gene	protein_coding	961380	962414	-	selD	PP_RS04360	1035	old_locus_tag	CDS	with_protein	WP_010952053.1	WP_010952053.1	selenide, water dikinase SelD	344.0		PP_0823
gene	protein_coding	962541	963395	+		PP_RS04365	855	old_locus_tag	CDS	with_protein	WP_010952054.1	WP_010952054.1	putative selenate ABC transporter substrate-binding protein	284.0		PP_0824
gene	protein_coding	963392	964201	+		PP_RS04370	810	old_locus_tag	CDS	with_protein	WP_010952055.1	WP_010952055.1	ATP-binding cassette domain-containing protein	269.0		PP_0825
gene	protein_coding	964195	965022	+		PP_RS04375	828	old_locus_tag	CDS	with_protein	WP_004576350.1	WP_004576350.1	ABC transporter permease subunit	275.0		PP_0826
gene	protein_coding	965019	965786	+	phnE	PP_RS04380	768	old_locus_tag	CDS	with_protein	WP_010952056.1	WP_010952056.1	phosphonate ABC transporter, permease protein PhnE	255.0		PP_0827
gene	protein_coding	965823	966716	-		PP_RS04385	894	old_locus_tag	CDS	with_protein	WP_049586418.1	WP_049586418.1	bestrophin family ion channel	297.0		PP_0828
gene	protein_coding	967035	967331	+		PP_RS04390	297	old_locus_tag	CDS	with_protein	WP_003248566.1	WP_003248566.1	addiction module antidote protein	98.0		PP_0829
gene	protein_coding	967342	967821	-		PP_RS04395	480	old_locus_tag	CDS	with_protein	WP_010952058.1	WP_010952058.1	GNAT family N-acetyltransferase	159.0		PP_0830
gene	protein_coding	967989	968636	-		PP_RS04400	648	old_locus_tag	CDS	with_protein	WP_049586421.1	WP_049586421.1	trypsin-like peptidase domain-containing protein	215.0		PP_0831
gene	tRNA	968898	968982	-		PP_RS04405	85	old_locus_tag	tRNA				tRNA-Leu		anticodon=CAA	PP_t68
gene	protein_coding	969088	970137	+	queA	PP_RS04410	1050	old_locus_tag	CDS	with_protein	WP_010952060.1	WP_010952060.1	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	349.0		PP_0832
gene	protein_coding	970152	971267	+	tgt	PP_RS04415	1116	old_locus_tag	CDS	with_protein	WP_003248558.1	WP_003248558.1	tRNA guanosine(34) transglycosylase Tgt	371.0		PP_0833
gene	protein_coding	971310	971645	+	yajC	PP_RS04420	336	old_locus_tag	CDS	with_protein	WP_003248556.1	WP_003248556.1	preprotein translocase subunit YajC	111.0		PP_0834
gene	protein_coding	971709	973571	+	secD	PP_RS04425	1863	old_locus_tag	CDS	with_protein	WP_010952061.1	WP_010952061.1	protein translocase subunit SecD	620.0		PP_0835
gene	protein_coding	973582	974490	+	secF	PP_RS04430	909	old_locus_tag	CDS	with_protein	WP_010952062.1	WP_010952062.1	protein translocase subunit SecF	302.0		PP_0836
gene	protein_coding	974609	975151	+		PP_RS04435	543	old_locus_tag	CDS	with_protein	WP_010952063.1	WP_010952063.1	glycine zipper 2TM domain-containing protein	180.0		PP_0837
gene	protein_coding	975320	976138	-	suhB	PP_RS04440	819	old_locus_tag	CDS	with_protein	WP_003248548.1	WP_003248548.1	inositol-phosphate phosphatase	272.0		PP_0838
gene	protein_coding	976290	977045	+	trmJ	PP_RS04445	756	old_locus_tag	CDS	with_protein	WP_004576300.1	WP_004576300.1	tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ	251.0		PP_0839
gene	protein_coding	977049	977834	+	cysE	PP_RS04450	786	old_locus_tag	CDS	with_protein	WP_010952064.1	WP_010952064.1	serine O-acetyltransferase	261.0		PP_0840
gene	protein_coding	978014	978505	+	iscR	PP_RS04455	492	old_locus_tag	CDS	with_protein	WP_003248542.1	WP_003248542.1	Fe-S cluster assembly transcriptional regulator IscR	163.0		PP_0841
gene	protein_coding	978551	979765	+		PP_RS04460	1215	old_locus_tag	CDS	with_protein	WP_003248541.1	WP_003248541.1	IscS subfamily cysteine desulfurase	404.0		PP_0842
gene	protein_coding	979812	980198	+	iscU	PP_RS04465	387	old_locus_tag	CDS	with_protein	WP_003248539.1	WP_003248539.1	Fe-S cluster assembly scaffold IscU	128.0		PP_0843
gene	protein_coding	980227	980550	+	iscA	PP_RS04470	324	old_locus_tag	CDS	with_protein	WP_003248536.1	WP_003248536.1	iron-sulfur cluster assembly protein IscA	107.0		PP_0844
gene	protein_coding	980559	981080	+	hscB	PP_RS04475	522	old_locus_tag	CDS	with_protein	WP_010952065.1	WP_010952065.1	co-chaperone HscB	173.0		PP_0845
gene	protein_coding	981124	982986	+	hscA	PP_RS04480	1863	old_locus_tag	CDS	with_protein	WP_010952066.1	WP_010952066.1	Fe-S protein assembly chaperone HscA	620.0		PP_0846
gene	protein_coding	982990	983331	+	fdx	PP_RS04485	342	old_locus_tag	CDS	with_protein	WP_003248531.1	WP_003248531.1	ISC system 2Fe-2S type ferredoxin	113.0		PP_0847
gene	protein_coding	983342	983542	+	iscX	PP_RS04490	201	old_locus_tag	CDS	with_protein	WP_003248529.1	WP_003248529.1	Fe-S cluster assembly protein IscX	66.0		PP_0848
gene	protein_coding	983631	984056	+	ndk	PP_RS04495	426	old_locus_tag	CDS	with_protein	WP_003248526.1	WP_003248526.1	nucleoside-diphosphate kinase	141.0		PP_0849
gene	protein_coding	984085	985230	+	rlmN	PP_RS04500	1146	old_locus_tag	CDS	with_protein	WP_010952067.1	WP_010952067.1	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	381.0		PP_0850
gene	protein_coding	985245	986006	+	pilW	PP_RS04505	762	old_locus_tag	CDS	with_protein	WP_049586424.1	WP_049586424.1	type IV pilus biogenesis/stability protein PilW	253.0		PP_0851
gene	protein_coding	986003	987010	+		PP_RS04510	1008	old_locus_tag	CDS	with_protein	WP_010952069.1	WP_010952069.1	RodZ domain-containing protein	335.0		PP_0852
gene	protein_coding	987014	988123	+	ispG	PP_RS04515	1110	old_locus_tag	CDS	with_protein	WP_010952070.1	WP_010952070.1	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	369.0		PP_0853
gene	protein_coding	988149	989438	+	hisS	PP_RS04520	1290	old_locus_tag	CDS	with_protein	WP_003248516.1	WP_003248516.1	histidine--tRNA ligase	429.0		PP_0854
gene	protein_coding	989478	990119	+		PP_RS04525	642	old_locus_tag	CDS	with_protein	WP_003248514.1	WP_003248514.1	tetratricopeptide repeat protein	213.0		PP_0855
gene	protein_coding	990120	991262	+	bamB	PP_RS04530	1143	old_locus_tag	CDS	with_protein	WP_004576298.1	WP_004576298.1	outer membrane protein assembly factor BamB	380.0		PP_0856
gene	protein_coding	991379	992842	+	der	PP_RS04535	1464	old_locus_tag	CDS	with_protein	WP_010952071.1	WP_010952071.1	ribosome biogenesis GTPase Der	487.0		PP_0857
gene	protein_coding	992994	994142	+		PP_RS04540	1149	old_locus_tag	CDS	with_protein	WP_003248511.1	WP_003248511.1	pyridoxal phosphate-dependent aminotransferase	382.0		PP_0858
gene	protein_coding	994130	994921	+		PP_RS04545	792	old_locus_tag	CDS	with_protein	WP_010952072.1	WP_010952072.1	amidohydrolase	263.0		PP_0859
gene	protein_coding	995046	997598	-		PP_RS04550	2553	old_locus_tag	CDS	with_protein	WP_049586426.1	WP_049586426.1	sulfite reductase flavoprotein subunit alpha	850.0		PP_0860
gene	protein_coding	997827	1000118	-		PP_RS04555	2292	old_locus_tag	CDS	with_protein	WP_049586427.1	WP_049586427.1	TonB-dependent siderophore receptor	763.0		PP_0861
gene	protein_coding	1000340	1001020	+		PP_RS04560	681	old_locus_tag	CDS	with_protein	WP_003248502.1	WP_003248502.1	Fe2+-dependent dioxygenase	226.0		PP_0862
gene	protein_coding	1001024	1001794	+		PP_RS04565	771	old_locus_tag	CDS	with_protein	WP_010952075.1	WP_010952075.1	tetratricopeptide repeat protein	256.0		PP_0863
gene	protein_coding	1001823	1002986	-		PP_RS04570	1164	old_locus_tag	CDS	with_protein	WP_003248498.1	WP_003248498.1	type III PLP-dependent enzyme	387.0		PP_0864
gene	protein_coding	1003494	1003979	+		PP_RS04575	486	old_locus_tag	CDS	with_protein	WP_003248496.1	WP_003248496.1	sigma-70 family RNA polymerase sigma factor	161.0		PP_0865
gene	protein_coding	1004000	1004962	+		PP_RS04580	963	old_locus_tag	CDS	with_protein	WP_049586482.1	WP_049586482.1	FecR family protein	320.0		PP_0866
gene	protein_coding	1005071	1007500	+		PP_RS04585	2430	old_locus_tag	CDS	with_protein	WP_010952078.1	WP_010952078.1	TonB-dependent siderophore receptor	809.0		PP_0867
gene	protein_coding	1007590	1008747	-		PP_RS04590	1158	old_locus_tag	CDS	with_protein	WP_010952079.1	WP_010952079.1	ABC transporter ATP-binding protein	385.0		PP_0868
gene	protein_coding	1008744	1009397	-		PP_RS04595	654	old_locus_tag	CDS	with_protein	WP_010952080.1	WP_010952080.1	ABC transporter permease	217.0		PP_0869
gene	protein_coding	1009394	1010305	-		PP_RS04600	912	old_locus_tag	CDS	with_protein	WP_049586430.1	WP_049586430.1	glycine betaine ABC transporter substrate-binding protein	303.0		PP_0870
gene	protein_coding	1010319	1011032	-		PP_RS04605	714	old_locus_tag	CDS	with_protein	WP_003248483.1	WP_003248483.1	ABC transporter permease	237.0		PP_0871
gene	protein_coding	1011589	1013172	+		PP_RS04610	1584	old_locus_tag	CDS	with_protein	WP_003248481.1	WP_003248481.1	peptide chain release factor 3	527.0		PP_0872
gene	protein_coding	1013303	1014382	-		PP_RS04615	1080	old_locus_tag	CDS	with_protein	WP_010952083.1	WP_010952083.1	polyamine ABC transporter substrate-binding protein	359.0		PP_0873
gene	protein_coding	1014435	1014776	-		PP_RS04620	342	old_locus_tag	CDS	with_protein	WP_010952084.1	WP_010952084.1	cupin domain-containing protein	113.0		PP_0874
gene	protein_coding	1014810	1016216	-		PP_RS04625	1407	old_locus_tag	CDS	with_protein	WP_049586433.1	WP_049586433.1	FAD-dependent oxidoreductase	468.0		PP_0875
gene	protein_coding	1016281	1017105	-		PP_RS04630	825	old_locus_tag	CDS	with_protein	WP_010952086.1	WP_010952086.1	nuclear transport factor 2 family protein	274.0		PP_0876
gene	protein_coding	1018092	1019060	-		PP_RS04635	969	old_locus_tag	CDS	with_protein	WP_010952088.1	WP_010952088.1	peptide ABC transporter ATP-binding protein	322.0		PP_0878
gene	protein_coding	1019060	1020028	-		PP_RS04640	969	old_locus_tag	CDS	with_protein	WP_010952089.1	WP_010952089.1	ABC transporter ATP-binding protein	322.0		PP_0879
gene	protein_coding	1020039	1020965	-		PP_RS04645	927	old_locus_tag	CDS	with_protein	WP_009685150.1	WP_009685150.1	ABC transporter permease subunit	308.0		PP_0880
gene	protein_coding	1020976	1021986	-		PP_RS04650	1011	old_locus_tag	CDS	with_protein	WP_003255257.1	WP_003255257.1	ABC transporter permease subunit	336.0		PP_0881
gene	protein_coding	1022078	1023688	-		PP_RS04655	1611	old_locus_tag	CDS	with_protein	WP_172835036.1	WP_172835036.1	ABC transporter substrate-binding protein	536.0		PP_0882
gene	protein_coding	1023767	1025146	-		PP_RS04660	1380	old_locus_tag	CDS	with_protein	WP_010952091.1	WP_010952091.1	OprD family porin	459.0		PP_0883
gene	protein_coding	1025375	1026967	-		PP_RS04665	1593	old_locus_tag	CDS	with_protein	WP_010952092.1	WP_010952092.1	ABC transporter substrate-binding protein	530.0		PP_0884
gene	protein_coding	1027114	1028739	-		PP_RS04670	1626	old_locus_tag	CDS	with_protein	WP_010952093.1	WP_010952093.1	ABC transporter substrate-binding protein	541.0		PP_0885
gene	protein_coding	1029120	1029836	-		PP_RS04675	717	old_locus_tag	CDS	with_protein	WP_003255248.1	WP_003255248.1	SIMPL domain-containing protein	238.0		PP_0886
gene	protein_coding	1030039	1031295	+		PP_RS04680	1257	old_locus_tag	CDS	with_protein	WP_014589781.1	WP_014589781.1	ATP-binding protein	418.0		PP_0887
gene	protein_coding	1031295	1031855	+		PP_RS04685	561	old_locus_tag	CDS	with_protein	WP_003255244.1	WP_003255244.1	response regulator	186.0		PP_0888
gene	protein_coding	1031964	1033043	+		PP_RS04690	1080	old_locus_tag	CDS	with_protein	WP_049586439.1	WP_049586439.1	serine hydrolase	359.0		PP_0889
gene	protein_coding	1033040	1033336	+		PP_RS04695	297	old_locus_tag	CDS	with_protein	WP_010952096.1	WP_010952096.1	hypothetical protein	98.0		PP_0890
